video_id_gt,frame_timestamp_gt,entity_id,label_gt,score,gt_binary,pred_binary,correct
62c4bc58-3776-4791-ac30-4c9ca5619503_Game11_2,0.0,62c4bc58-3776-4791-ac30-4c9ca5619503_Game11_2_0_12_0,NOT_SPEAKING,0.00049598434,0,0,True
62c4bc58-3776-4791-ac30-4c9ca5619503_Game11_2,0.033,62c4bc58-3776-4791-ac30-4c9ca5619503_Game11_2_0_12_0,NOT_SPEAKING,6.664003e-05,0,0,True
62c4bc58-3776-4791-ac30-4c9ca5619503_Game11_2,0.067,62c4bc58-3776-4791-ac30-4c9ca5619503_Game11_2_0_12_0,NOT_SPEAKING,9.366566e-05,0,0,True
62c4bc58-3776-4791-ac30-4c9ca5619503_Game11_2,0.1,62c4bc58-3776-4791-ac30-4c9ca5619503_Game11_2_0_12_0,NOT_SPEAKING,0.043817233,0,0,True
62c4bc58-3776-4791-ac30-4c9ca5619503_Game11_2,0.133,62c4bc58-3776-4791-ac30-4c9ca5619503_Game11_2_0_12_0,NOT_SPEAKING,0.85116047,0,1,False
62c4bc58-3776-4791-ac30-4c9ca5619503_Game11_2,0.167,62c4bc58-3776-4791-ac30-4c9ca5619503_Game11_2_0_12_0,NOT_SPEAKING,0.0034213543,0,0,True
62c4bc58-3776-4791-ac30-4c9ca5619503_Game11_2,0.2,62c4bc58-3776-4791-ac30-4c9ca5619503_Game11_2_0_12_0,NOT_SPEAKING,0.0001069209,0,0,True
62c4bc58-3776-4791-ac30-4c9ca5619503_Game11_2,0.233,62c4bc58-3776-4791-ac30-4c9ca5619503_Game11_2_0_12_0,NOT_SPEAKING,1.3047045e-05,0,0,True
62c4bc58-3776-4791-ac30-4c9ca5619503_Game11_2,0.267,62c4bc58-3776-4791-ac30-4c9ca5619503_Game11_2_0_12_0,NOT_SPEAKING,3.74119e-05,0,0,True
62c4bc58-3776-4791-ac30-4c9ca5619503_Game11_2,0.3,62c4bc58-3776-4791-ac30-4c9ca5619503_Game11_2_0_12_0,NOT_SPEAKING,0.0065769986,0,0,True
62c4bc58-3776-4791-ac30-4c9ca5619503_Game11_2,0.333,62c4bc58-3776-4791-ac30-4c9ca5619503_Game11_2_0_12_0,NOT_SPEAKING,0.0015005149,0,0,True
62c4bc58-3776-4791-ac30-4c9ca5619503_Game11_2,0.367,62c4bc58-3776-4791-ac30-4c9ca5619503_Game11_2_0_12_0,NOT_SPEAKING,0.00055629935,0,0,True
62c4bc58-3776-4791-ac30-4c9ca5619503_Game11_2,0.4,62c4bc58-3776-4791-ac30-4c9ca5619503_Game11_2_0_12_0,NOT_SPEAKING,0.00062828715,0,0,True
62c4bc58-3776-4791-ac30-4c9ca5619503_Game11_2,0.433,62c4bc58-3776-4791-ac30-4c9ca5619503_Game11_2_0_12_0,NOT_SPEAKING,0.14023499,0,0,True
62c4bc58-3776-4791-ac30-4c9ca5619503_Game11_2,0.467,62c4bc58-3776-4791-ac30-4c9ca5619503_Game11_2_0_12_0,NOT_SPEAKING,0.2803531,0,0,True
